Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Вахній,Пармен,Богданович,Чоловіча,1990-09-06,Бібліотекар,село Конотоп,"шосе Картамишевська, буд. 1, Кагарлик, 61221",980 78 60,chumakmyroslav@example.net
Худобʼяк,Емілія,Іванівна,Жіноча,1985-08-19,Художник,село Ялта,"шосе Виноградна 1-ша, буд. 6 кв. 6, Бориспіль, 36961",000 383 56 38,iashchukvarfolomii@example.org
Алексюк,Галина,Янівна,Жіноча,2008-12-22,Скульптор,місто Запоріжжя,"набережна Вапняний 1-й, буд. 82 кв. 0, Новогродівка, 57808",800 97 04,udovenkolukian@example.net
Теліженко,Сергій,Денисович,Чоловіча,1982-12-27,Піаніст,місто Тисмениця,"узвіз Лазурського, буд. 6 кв. 639, Кривий Ріг, 74455",080 207 74 99,verkholaonysym@example.net
Дуплій,Вікторія,Іванівна,Жіноча,1969-08-25,Ґрунтознавець,місто Новодружеськ,"набережна Штабний, буд. 13 кв. 00, Мерефа, 34287",434 22 22,tsybulenkovitalii@example.org
Харченко,Пріска,Артемівна,Жіноча,1958-04-11,Шериф,селище Київ,"шосе Асташкіна, буд. 503, Суми, 82050",051 956-45-73,ievhen44@example.org
Ващук,Леонід,Назарович,Чоловіча,1988-05-09,Педагог,хутір Кам'янка-Дніпровська,"шосе Каменярів, буд. 8 кв. 16, Заводське, 71636",017 154-23-19,vernydubsviatoslava@example.org
Гриценко,Богуслав,Денисович,Чоловіча,1988-07-02,Менеджер,місто Монастирище,"провулок Любомира Гузара, буд. 225 кв. 3, Чернігів, 10566",+380 08 946-93-10,bkhudobiak@example.com
Радченко,Анжела,Олексіївна,Жіноча,1943-09-14,Правник,селище Вуглегірськ,"проспект Селищна, буд. 2 кв. 1, Комарно, 10244",+380 73 855 01 65,izhakevychfeofan@example.net
Байдак,Амвросій,Михайлович,Чоловіча,1956-03-30,Складальник,місто Сокаль,"набережна Чубаївський, буд. 09 кв. 33, Мерефа, 36979",856 95 19,vitalii17@example.com
Швачко,Дарина,Янівна,Жіноча,1958-12-23,Підприємець,село Білозерське,"набережна Висока, буд. 3 кв. 8, Надвірна, 30344",+380 89 138-87-45,havrylo68@example.com
Козак,Євген,Петрович,Чоловіча,1961-02-08,Сценарист,село Луцьк,"набережна Вознесенський, буд. 0, Узин, 36771",060 183 46 70,huzhryhorii@example.net
Пилипенко,Миколай,Кирилович,Чоловіча,1982-05-29,Кінорежисер,село Решетилівка,"вулиця Володимира Терещенка, буд. 48, Красноперекопськ, 70554",+380 99 671 82 84,fesenkoihor@example.net
Чміль,Анастасія,Романівна,Жіноча,1987-07-29,Астроном,село Жовті Води,"парк Наявний 5-й, буд. 535, Чорноморськ, 97101",071 065-43-19,poltavetsokseniia@example.net
Шморгун,Аніта,Артемівна,Жіноча,1961-05-20,Гірник,селище Копичинці,"проспект Килимова, буд. 8, Рахів, 63627",+380 06 354-48-85,charnyshserhii@example.org
Стельмах,Віра,Романівна,Жіноча,1979-03-24,Мистецтвознавець,село Рубіжне,"узвіз Шухевича Романа, буд. 433, Виноградів, 75258",+380 (28) 819-54-97,ftalan@example.com
Ващук,Федір,Тимофійович,Чоловіча,1990-06-29,Випробувач,хутір Новодружеськ,"провулок Віктора Скаржинського узвіз, буд. 28, Докучаєвськ, 39338",+380 53 932-98-56,mykhailychenkoonysym@example.net
Таран,Оксана,Іванівна,Жіноча,2009-02-23,Пілот,село Сколе,"узвіз Сергія Параджанова, буд. 1 кв. 434, Алмазна, 20368",767 05 12,fhodunok@example.org
Кальченко,Анжела,Тарасівна,Жіноча,1949-12-18,Економіст,село Фастів,"узвіз Нерубайська, буд. 8 кв. 7, Харків, 44836",093 443 27 77,tesliaiukhym@example.com
Дубенко,Алевтин,Назарович,Чоловіча,1968-11-29,Дизайнер,хутір Теребовля,"шосе Лінія 36-та, буд. 3, Бахмач, 22398",+380 81 747 26 31,fartushniakleopold@example.org
